USERID,TEXT,DATE,COORD
6.04382E+17,Felt #earthquake M4.0 strikes 12 km NW of #Kathmandu (#Nepal) 14 min ago. Please report to: http://t.co/68WXspMvLb http://t.co/4jPSnSK8E3,Fri May 29 20:21:03 +0000 2015,"[27.75,85.21]"
6.04382E+17,This is the 10th felt #earthquake in Nepal in the last 63 hours http://t.co/OSr2jaub9Y,Fri May 29 20:21:05 +0000 2015,"[27.75,85.21]"
6.04384E+17,M4.0 #earthquake strikes 12 km NW of #Kathmandu (#Nepal) 22 min ago. Read witnesses' stories &amp; provide yours: http://t.co/x2a1M30sIN,Fri May 29 20:29:34 +0000 2015,"[27.75,85.21]"
6.04576E+17,Rollerthon to Nepal. We are collecting donations for Nepal earthquake victims. @ University of_éÙ https://t.co/Ip9ODs9BZT,Sat May 30 09:12:18 +0000 2015,"[50.935352,-1.397039]"
6.04581E+17,It was with heavy hearts we learned about the recent #Nepal #earthquakes and knowing that @NinaMPhoto_éÙ https://t.co/8y0XFozlLi,Sat May 30 09:32:48 +0000 2015,"[50.72792,-1.936544]"
6.03259E+17,"4.5 magnitude #earthquake. 53 km from #Kathmandu, , Nepal http://t.co/HNmBZHzhFZ",Tue May 26 18:00:05 +0000 2015,"[28.1332,85.0636]"
6.03259E+17,Update: M4.5 #earthquake strikes 54 km NW of #Kathmandu (#Nepal) 53 min ago. http://t.co/6fO17BIsqc http://t.co/dEST0zqLei,Tue May 26 18:00:16 +0000 2015,"[28.13,85.06]"
6.0326E+17,"USGS reports a M4.5 #earthquake 54km NNW of Kathmandu, Nepal on 5/26/15 @ 17:07:16 UTC http://t.co/KRyjVorjDk #quake",Tue May 26 18:01:05 +0000 2015,"[28.1332,85.0636]"
6.0326E+17,"4.5 earthquake, 54km NNW of Kathmandu, Nepal. May 26 22:52 at epicenter (53m ago, depth 31km). http://t.co/MIen1SOvBW",Tue May 26 18:01:06 +0000 2015,"[28.1332,85.0636]"
6.03267E+17,We are researching all about earthquakes. We are going to learn about the earthquakes in Nepal &amp; how we can help. http://t.co/QnL0HU720b,Tue May 26 18:30:42 +0000 2015,"[43.571975,-79.768941]"
6.03268E+17,"USGS: M 4.5 - 54km NNW of Kathmandu, Nepal http://t.co/W5tsH28lxh #earthquake",Tue May 26 18:36:27 +0000 2015,"[28.1332,85.0636]"
6.03277E+17,Cllr Ellar makes particular reference to the people of Nepal and Cllr Gurung's support following the earthquake.,Tue May 26 19:11:50 +0000 2015,"[51.474286,-0.367634]"
6.04366E+17,#checkout #101east nepal's unsung hero ! my brother Jigme http://t.co/UXa3FrW5qe,Fri May 29 19:19:20 +0000 2015,"[40.772896,-73.955084]"
6.04374E+17,Check out Climb for Nepal on Strava. Ready to tackle it? I am #strava #climbfornepal #climbeverest https://t.co/onZBAgQswN,Fri May 29 19:49:29 +0000 2015,"[53.29501,-2.098956]"
6.0456E+17,stay strong nepal!! _Åìä_ÅìÜ http://t.co/wceUSPzabg,Sat May 30 08:09:31 +0000 2015,"[1.348896,103.947848]"
6.04574E+17,A @lloret col.laborem ajudant al poble nepal_©s amb la fot__grafa J__lia Termes http://t.co/UCOvnLl0n4,Sat May 30 09:05:44 +0000 2015,"[41.86036,2.668672]"
6.04591E+17,Ahir a el #XaletdelsRasos al sopar en suport al poble nepal_©s. Suport a la ingent tasca humanit__ria_éÙ https://t.co/oIOtT5zX1R,Sat May 30 10:10:09 +0000 2015,"[42.142222,1.7625]"
6.03283E+17,K_ısitt_ım_ıtt__m_ın hieno ja odottamaton ilta @tavastia #kaikkisoittaaismostasamyaffaan #nepal @UNICEF,Tue May 26 19:32:29 +0000 2015,"[60.16859,24.93329]"
6.03222E+17,Pai bonzinho arrumo o nepal HAHAHA so os fortes entende kk,Tue May 26 15:30:06 +0000 2015,"[-28.444617,-48.816838]"
