USERID,TEXT,DATE,COORD
6.04368E+17,Man washed away in flood released from hospital: A Corpus Christi man who was swept away by raging floodwaters in‚Ä¶ http://t.co/GCoaN2srPJ,Fri May 29 19:27:07 +0000 2015,"[29.429891,-98.486996]"
6.0437E+17,Last time at the expansion site before they flood the place #maerskfamily #panamacanal #sealand‚Ä¶ https://t.co/HQAOUBa1nr,Fri May 29 19:33:32 +0000 2015,"[8.970578,-79.571867]"
6.04373E+17,Central Texas businesses step up flood relief efforts: As heavy rains continued to inundate Central Texas this‚Ä¶ http://t.co/LVB6knljsR,Fri May 29 19:44:07 +0000 2015,"[30.269605,-97.743617]"
6.04377E+17,Garland Homes Flooded Friday Morning: Residents living along Duck Creek in Garland were impacted hard by flood‚Ä¶ http://t.co/qtzorm56dZ,Fri May 29 20:00:07 +0000 2015,"[32.727913,-97.31947]"
6.04385E+17,Hill Country flood victims include retired Dallas real estate man http://t.co/KYP8XCWCfo #Granada Hills,Fri May 29 20:31:09 +0000 2015,"[34.286655,-118.458997]"
6.04385E+17,Hill Country flood victims include retired Dallas real estate man http://t.co/4wo8T5yFyE,Fri May 29 20:31:09 +0000 2015,"[34.286655,-118.458997]"
6.04387E+17,@feleafish do you mean flood? As in flash flood??,Fri May 29 20:41:58 +0000 2015,"[32.934628,-80.037714]"
6.04398E+17,Sugar Land Skeeters help out flood victims http://t.co/fum8EAPVkO,Fri May 29 21:23:52 +0000 2015,"[29.6276,-95.635597]"
6.04401E+17,"Denton Co. Leaders Update Flood Plan: Due to flooding and the potential for more flooding, Denton County leaders‚Ä¶ http://t.co/RzS77Df5pK",Fri May 29 21:37:11 +0000 2015,"[32.727913,-97.31947]"
6.04401E+17,Trinity River in Dallas hits major flood stage: The Trinity River near downtown Dallas reached major flood stage on‚Ä¶ http://t.co/imMP5zhnz0,Fri May 29 21:37:12 +0000 2015,"[32.727913,-97.31947]"
6.04401E+17,Crews use drones to search for flood victims: Search and recovery teams are using drones to help find potential‚Ä¶ http://t.co/9pON9HDayx,Fri May 29 21:37:19 +0000 2015,"[29.429891,-98.486996]"
6.04404E+17,Texas Flooding #texas#rain#emergency #NatureIsAwesome #flooding #flood #rain #rainyday http://t.co/OjaiLMfLFs‚Ä¶ https://t.co/XxFQkXujFC,Fri May 29 21:48:23 +0000 2015,"[43.600952,-89.78813]"
6.04404E+17,MLB: Astros to host food drive to assist flood victims http://t.co/sd5hoNEQ6S,Fri May 29 21:48:28 +0000 2015,"[29.7579,-95.3619]"
6.04404E+17,"Raised the beds, ready to flood the market @ Chanticlear Farms https://t.co/utVHY8cD9h",Fri May 29 21:50:35 +0000 2015,"[-26.988353,152.878798]"
6.04405E+17,MLB: Astros to host food drive to assist flood victims http://t.co/4bFSddGGko,Fri May 29 21:54:13 +0000 2015,"[29.749701,-95.346397]"
6.04409E+17,would not be surprised to see a flash flood warning issued for Spotsylvania County and Fredericksburg very soon... VERY heavy rain _üí¶,Fri May 29 22:08:52 +0000 2015,"[38.300368,-77.511382]"
6.0441E+17,#trinityriver #dallas #flood #Texas @ Trinity River Greenbelt Park https://t.co/M0AbSEOWTK,Fri May 29 22:14:19 +0000 2015,"[32.762105,-96.807092]"
6.04411E+17,@javajotraveler came out to give back for the flood relief #youshouldbehere #helphouston @ Walmart‚Ä¶ https://t.co/OlEs1v3rql,Fri May 29 22:17:15 +0000 2015,"[29.676242,-95.457565]"
6.04412E+17,Rosenberg issues mandatory evacuation for SOME residents near Brazos River #abc13 #houstonflood,Fri May 29 22:19:17 +0000 2015,"[29.681037,-96.02418]"
6.04412E+17,Expecting a flood in IC soon. Hawks end NCAA win drought of 15 years in basketball and 43 years in baseball.,Fri May 29 22:20:59 +0000 2015,"[41.660288,-91.550525]"
