COORD
"[27.75,85.21]"
"[27.75,85.21]"
"[27.75,85.21]"
"[50.935352,-1.397039]"
"[50.72792,-1.936544]"
"[-28.7476, -71.5076]"
"[11.538318, 122.310375]"
"[19.0503, -65.429]"
"[19.0545, -65.3632]"
"[19.0895, -65.61]"
"[19.09, -65.61]"
"[19.0956, -65.4178]"
"[19.096, -65.418]"
"[19.112, -65.449]"
"[19.1124, -65.449]"
"[19.137, -65.473]"
"[19.1371, -65.4726]"
"[19.1509, -65.4616]"
"[19.151, -65.462]"
"[19.4221, -68.8746]"
"[19.425833, -155.606003]"
"[33.290669, -116.748497]"
"[33.291333, -116.747667]"
"[33.848332, -117.850502]"
"[35.8545, -117.671669]"
"[36.730835, -121.390167]"
"[37.36, -117.1237]"
"[37.3713, -117.119]"
"[38.802502, -122.782501]"
"[38.813999, -122.824333]"
"[46.489666, -122.417999]"
"[40.772896,-73.955084]"
"[53.29501,-2.098956]"
"[1.348896,103.947848]"
"[41.86036,2.668672]"
"[42.142222,1.7625]"
